,featureid,id,coverherb_0m,coverherb_5cm,cover_0m,cover_5cm,Plot #,Letter,GPS #,Date Harvested,Site,% Cover,Height 1,Height 2,Height 3,Height 4,Dry Weight (g),Location,Tree Species,DPM,0,25,50,75,98,100,mean,std,nlayers,gapsize,maxpeakh,ptoh,cscore,FHD,VDR,VDRpeak,meanpeakh,stdpeakh,cvpeakh,herbh,PAIsum_0m,PAIsum_5cm,PAIsum_0mto1p5m,PAIsum_5cmto1p5m,PAImean_0mto1p5m,PAImean_5cmto1p5m,log(DryWeight)
0,KrugerLowerSabie2022-A1,A1,0.9444444444444444,0.3484848484848485,0.9444444444444444,0.3484848484848485,A1,A,1.0,Sep 26 2022,Lower Sabie west,70,2.0,6.0,5.0,2.0,18.03,No trees,,5.0,0.0504110157489776,0.055449616163969,0.0608353093266487,0.067735731601715,0.1225325763225555,0.1518157720565796,0.0658414661884307,0.0174801424145698,1.0,0.0,0.05,0.4044203147420778,0.032258064516129,0.6465036520083403,0.708296537399292,0.0,0.05,0.0,0.0,0.3678729456602488,2.669390044707033,0.8569092526657263,2.669390044707033,0.8569092526657263,0.33367375558837914,0.12241560752367518,2.8920370372152258
1,KrugerLowerSabie2022-A2,A2,0.9948979591836736,0.9897959183673468,0.9948979591836736,0.9897959183673468,A2,A,2.0,Sep 26 2022,Lower Sabie west,100,50.0,40.0,45.0,45.0,137.58,No trees,,16.0,0.050519909709692,0.1881515607237815,0.2445000037550926,0.3004325926303863,0.3955399948358534,0.4320000112056732,0.2440463155508041,0.0811971053481102,1.0,0.0,0.25,0.5922514263577899,0.0483870967741935,0.7428010662381923,0.4363426268100738,0.0,0.25,0.0,0.0,0.986372484354112,2.7440468287513955,2.7338166274178537,2.7440468287513955,2.7338166274178537,0.34300585359392444,0.39054523248826484,4.924205566097869
2,KrugerLowerSabie2022-A3,A3,0.9899497487437184,0.9798994974874372,0.9899497487437184,0.9798994974874372,A3,A,3.0,Sep 26 2022,Lower Sabie west,100,75.0,85.0,70.0,65.0,300.17,No trees,,36.0,0.0505174547433853,0.2454832270741462,0.3120666444301605,0.4057851135730743,0.5011915445327759,0.5405061841011047,0.3153428733348846,0.1104703769087791,1.0,0.0,0.5,0.954328702623482,0.064516129032258,0.758395754571932,0.4250690639019012,0.0,0.5,0.0,0.0,1.1222753630668858,3.064477725190794,3.044275533217787,3.064477725190794,3.044275533217787,0.3830597156488493,0.43489650474539815,5.704348980827941
3,KrugerLowerSabie2022-A4,A4,0.9464285714285714,0.625,0.9464285714285714,0.625,A4,A,4.0,Sep 26 2022,Lower Sabie west,65,1.0,4.5,3.0,0.0,28.28,No trees,,4.5,0.0500208474695682,0.0539756678044796,0.0586699433624744,0.0627486407756805,0.0787005060911178,0.0911631435155868,0.0594573840498924,0.0069864601828157,1.0,0.0,0.25,3.1242319514935333,0.032258064516129,0.6615632381579821,0.4194236397743225,0.0,0.25,0.0,0.0,0.5440546523573924,2.7371895680409795,1.9616585060234524,2.7371895680409795,1.9616585060234524,0.34214869600512243,0.28023692943192174,3.342154841028372
4,KrugerLowerSabie2022-A5,A5,0.9906103286384976,0.9577464788732394,0.9906103286384976,0.9577464788732394,A5,A,5.0,Sep 26 2022,Lower Sabie west,100,65.0,70.0,60.0,70.0,162.31,No trees,,16.5,0.0505005195736885,0.1653896570205688,0.2372615411877632,0.291250005364418,0.3849312543869018,0.4487961530685425,0.2305154949426651,0.0826267227530479,1.0,0.0,0.25,0.5886508620609603,0.0483870967741935,0.8285063540178184,0.4899683892726898,0.0,0.25,0.0,0.0,0.9472835549696372,2.7107404598387603,2.643908465999072,2.7107404598387603,2.643908465999072,0.33884255747984504,0.3777012094284388,5.089508086916979
5,KrugerLowerSabie2022-A6,A6,0.8611111111111112,0.15,0.8611111111111112,0.15,A6,A,6.0,Sep 26 2022,Lower Sabie west,70,20.0,15.0,2.0,5.0,20.01,No trees,,5.5,0.0502496436238288,0.0535089205950498,0.0579977594316005,0.0716402940452098,0.1016905045509338,0.1031440496444702,0.0646566823124885,0.0160488076508045,1.0,0.0,0.05,0.501876398121674,0.032258064516129,0.4227090878059908,0.7081227898597717,0.0,0.05,0.0,0.0,0.2572220998881959,2.808464123613116,0.3250378589955499,2.808464123613116,0.3250378589955499,0.3510580154516395,0.04643397985650712,2.996232148595642
6,KrugerLowerSabie2022-A7,A7,0.8872682408059224,0.0179215071375807,0.8944723618090452,0.0251256281407035,A7,A,7.0,Sep 26 2022,Lower Sabie west,40,5.0,5.5,5.0,5.0,25.25,No trees,,4.5,0.0507842078804969,0.0519454106688499,0.0546727553009986,0.0569441765546798,0.059287741780281,0.0594915300607681,0.0547676160931587,0.0031904284842312,1.0,0.0,0.05,0.8896452226310015,0.032258064516129,0.1173667723603911,0.5377413630485535,0.0,0.05,0.0,0.0,0.1926551968151425,4.121309904728348,0.050893331322328525,4.121309904728348,0.050893331322328525,0.5151637380910435,0.00727047590318979,3.228826155721369
7,KrugerLowerSabie2022-A9,A9,0.9586326663883267,0.8304275381831986,0.9597069597069596,0.8315018315018315,A9,A,9.0,Sep 26 2022,Lower Sabie west,100,40.0,45.0,25.0,45.0,109.34,No trees,,13.0,0.0520000010728836,0.0921230837702751,0.1216140910983085,0.1487073972821235,0.2576599079370495,0.5424439311027527,0.127519816160202,0.0565681792795658,1.0,0.0,0.25,0.8334401773182042,0.064516129032258,0.5506547239079489,0.7946507334709167,0.0,0.25,0.0,0.0,0.676679481003298,3.666554856892405,3.392152613865435,3.666554856892405,3.392152613865435,0.45831935711155064,0.48459323055220505,4.694462293466853
8,KrugerLowerSabie2022-A8,A8,0.9263367271626238,0.5453843462102428,0.9393939393939394,0.5584415584415584,A8,A,8.0,Sep 26 2022,Lower Sabie west,75,10.0,30.0,10.0,25.0,57.13,No trees,,8.5,0.0502258092164993,0.0647150576114654,0.0771589428186416,0.1003329083323478,0.380245366096496,0.5278559327125549,0.0948139950633049,0.0731461942195892,1.0,0.0,0.25,0.4840302129132741,0.064516129032258,0.7732303469556134,0.8999242186546326,0.0,0.25,0.0,0.0,0.4959459936415162,2.551924359675127,1.5927781991513543,2.551924359675127,1.5927781991513543,0.3189905449593909,0.22753974273590777,4.045329372736371
9,KrugerLowerSabie2022-A10,A10,0.9952380952380953,0.973015873015873,0.9952380952380953,0.973015873015873,A10,A,10.0,Sep 26 2022,Lower Sabie west,95,60.0,45.0,55.0,65.0,136.81,No trees,,21.0,0.0509999990463256,0.1432211622595787,0.2073830068111419,0.2666481137275696,0.3867859065532684,0.516739547252655,0.2098537236452102,0.0848364755511283,1.0,0.0,0.25,0.600782838356773,0.064516129032258,0.7736841709048804,0.6036722660064697,0.0,0.25,0.0,0.0,0.9340685672927822,2.905200750502926,2.8602550387988086,2.905200750502926,2.8602550387988086,0.3631500938128657,0.4086078626855441,4.918593101932023
10,KrugerLowerSabie2022-B6,B6,0.9373040752351096,0.3385579937304075,0.9373040752351096,0.3385579937304075,B6,B,6.0,Sep 26 2022,Lower Sabie west,0,0.0,0.0,0.0,0.0,0.75,Bareground,,1.0,0.0500613860785961,0.0535881342366337,0.0573422834277153,0.0618191873654723,0.0799788725376129,0.125160664319992,0.059054460376501,0.0089838551357388,1.0,0.0,0.05,0.6607417692413758,0.032258064516129,0.6400743670705318,0.6482735276222229,0.0,0.05,0.0,0.0,0.3621559429429747,2.6529876163480104,0.8266659386175561,2.6529876163480104,0.8266659386175561,0.3316234520435013,0.1180951340882223,-0.2876820724517809
11,KrugerLowerSabie2022-B5,B5,0.9056603773584906,0.3962264150943396,0.9056603773584906,0.3962264150943396,B5,B,5.0,Sep 26 2022,Lower Sabie west,80,15.0,10.0,10.0,15.0,46.66,No trees,,8.5,0.0505678802728652,0.0574085917323827,0.0677708834409713,0.0814993400126695,0.1065987324714661,0.1245912462472915,0.070950448513031,0.0159466303884983,1.0,0.0,0.05,0.4585122686513997,0.032258064516129,,0.6535979509353638,0.0,0.05,0.0,0.0,0.395648845219489,2.4335027725660705,1.0091120215047904,2.4335027725660705,1.0091120215047904,0.3041878465707588,0.14415886021497007,3.8428872665932836
12,KrugerLowerSabie2022-B4,B4,0.9103448275862068,0.6344827586206897,0.9103448275862068,0.6344827586206897,B4,B,4.0,Sep 26 2022,Lower Sabie west,90,25.0,25.0,45.0,35.0,184.53,No trees,,16.5,0.0508236326277256,0.0673515945672988,0.1065071746706962,0.1659803539514541,0.3247594487667083,0.3474031388759613,0.1310911029577255,0.0766103267669677,1.0,0.0,0.25,0.746342397696379,0.0483870967741935,0.8801039375148972,0.8148476481437683,0.0,0.25,0.0,0.0,0.5826297696202576,2.4390359875872334,1.7934892030611316,2.4390359875872334,1.7934892030611316,0.3048794984484042,0.2562127432944474,5.217812051888387
13,KrugerLowerSabie2022-B2,B2,0.9867549668874172,0.933774834437086,0.9867549668874172,0.933774834437086,B2,B,2.0,Sep 26 2022,Lower Sabie west,90,50.0,55.0,35.0,35.0,126.63,No trees,,12.5,0.050000000745058,0.1145314015448093,0.1719237864017486,0.2228933796286583,0.3808999943733215,0.4410000145435333,0.1793760657310485,0.0777114182710647,1.0,0.0,0.25,0.5990989670398396,0.0483870967741935,0.6313396758629081,0.6248685717582703,0.0,0.25,0.0,0.0,0.8010634573143941,3.5749464504882726,3.4660760373782384,3.5749464504882726,3.4660760373782384,0.4468683063110341,0.4951537196254626,4.841269448462517
14,KrugerLowerSabie2022-B3,B3,0.9731800766283524,0.6360153256704981,0.9731800766283524,0.6360153256704981,B3,B,3.0,Sep 26 2022,Lower Sabie west,85,2.5,2.0,15.0,10.0,96.46,No trees,,8.0,0.050000000745058,0.0663555301725864,0.0920000001788139,0.1266288161277771,0.2121974390745165,0.3519999980926513,0.1011725813150405,0.0442393273115158,1.0,0.0,0.25,1.0325761169037626,0.0483870967741935,0.6950299587092986,0.8246320486068726,0.0,0.25,0.0,0.0,0.5578570749911497,2.817461174534761,1.9950035488849327,2.817461174534761,1.9950035488849327,0.35218264681684514,0.28500050698356183,4.569128414640826
15,KrugerLowerSabie2022-B1,B1,0.934640522875817,0.673202614379085,0.934640522875817,0.673202614379085,B1,B,1.0,Sep 26 2022,Lower Sabie west,85,10.0,20.0,20.0,30.0,76.51,No trees,,7.0,0.0508031696081161,0.0671663880348205,0.0948408618569374,0.1246578097343444,0.182637721300125,0.2006922364234924,0.0995416641235351,0.0359203070402145,1.0,0.0,0.25,1.3185338306338843,0.032258064516129,0.6318873589149205,0.661310076713562,0.0,0.25,0.0,0.0,0.5779182540565496,2.842930037288769,2.236829831928579,2.842930037288769,2.236829831928579,0.3553662546610961,0.31954711884693987,4.3374214512437606
16,KrugerLowerSabie2022-A11,A11,1.0,0.9841772151898734,1.0,0.9841772151898734,A11,A,11.0,Sep 26 2022,Lower Sabie west,> 5,0.0,0.0,0.0,5.0,2.13,Bareground with burrow in between,,0.0,0.06700000166893,0.1700000017881393,0.2960000038146972,0.3409999907016754,0.3982000052928925,0.5490000247955322,0.2634868919849396,0.0901385247707367,1.0,0.0,0.5,1.1170106056078426,0.064516129032258,0.7767002891382454,0.472677618265152,0.0,0.5,0.0,0.0,0.9988125437295328,2.758012906949391,2.7261143041340348,2.758012906949391,2.7261143041340348,0.3447516133686739,0.3894449005905764,0.7561219797213338
17,KrugerLowerSabie2022-A12,A12,0.905,0.365,0.905,0.365,A12,A,12.0,Sep 26 2022,Lower Sabie west,65,25.0,5.0,5.5,2.0,28.66,No trees,,7.0,0.0501809269189834,0.0561200976371765,0.0630437061190605,0.0715734288096427,0.0988983070850372,0.1171426773071289,0.0655650049448013,0.0128860995173454,1.0,0.0,0.05,0.5028572384612598,0.032258064516129,0.6562408706276684,0.6367243528366089,0.0,0.05,0.0,0.0,0.3774285456153867,2.4613181391768837,0.9082605601788907,2.4613181391768837,0.9082605601788907,0.30766476739711046,0.1297515085969844,3.3555024224000256
18,KrugerLowerSabie2022-A13,A13,0.21404436815544664,0.09330133409971914,0.7110423116615067,0.5902992776057792,A13,A,13.0,Sep 26 2022,Lower Sabie west,40,30.0,10.0,15.0,15.0,28.06,Beneath A. nigrescens,#NAME?,,0.050311591476202,1.217115193605423,2.092930674552917,2.6029999256134038,2.91805362701416,3.154421329498291,1.789012432098389,0.9330955147743224,3.0,1.45,2.75,0.9240421762030092,0.2258064516129032,2.2902257431170137,0.5348072052001953,0.4545454545454545,1.4333333333333331,1.1032779442290244,1.2991588754499694,0.3983244977423499,1.4825608477296905,1.2252046776067895,0.8048066072672303,0.5474504371443294,0.10060082590840379,0.07820720530633277,3.3343450746743146
19,KrugerLowerSabie2022-B9,B9,0.967032967032967,0.956043956043956,0.967032967032967,0.956043956043956,B9,B,9.0,Sep 26 2022,Lower Sabie west,100,70.0,105.0,75.0,85.0,186.52,No trees,,29.0,0.0525579042732715,0.1532199792563915,0.2397374585270881,0.3157559335231781,0.4619261544942856,0.6020500063896179,0.2447333335876464,0.103396475315094,1.0,0.0,0.25,0.530855427489926,0.064516129032258,0.87172797442767,0.6135398149490356,0.0,0.25,0.0,0.0,0.9629007591222426,2.6170863472924077,2.5949866749192374,2.6170863472924077,2.5949866749192374,0.32713579341155097,0.37071238213131963,5.22853847194012
20,KrugerLowerSabie2022-B10,B10,0.9442622950819672,0.5508196721311476,0.9442622950819672,0.5508196721311476,B10,B,10.0,Sep 26 2022,Lower Sabie west,75,15.0,10.0,30.0,0.0,58.18,No trees,,9.0,0.0506782121956348,0.0614720545709133,0.0737495124340057,0.0922713484615087,0.1420883002877235,0.1989311575889587,0.0794006437063217,0.0256404019892215,1.0,0.0,0.25,1.486132350064221,0.032258064516129,0.687972972088721,0.7322278022766113,0.0,0.25,0.0,0.0,0.4889057491983402,2.600573604616747,1.6006617015585736,2.600573604616747,1.6006617015585736,0.3250717005770934,0.2286659573655105,4.063541653067055
21,KrugerLowerSabie2022-B11,B11,1.0,1.0,1.0,1.0,B11,B,11.0,Sep 26 2022,Lower Sabie west,100,80.0,65.0,55.0,90.0,203.61,No trees,,32.0,0.0659999996423721,0.2544208168983459,0.3172798752784729,0.375,0.4520339047908783,0.5067395567893982,0.3037741482257843,0.0942368507385253,1.0,0.0,0.5,1.0372088120169003,0.0483870967741935,0.5774192847082882,0.3738797903060913,0.0,0.5,0.0,0.0,1.1612915799587145,3.3730303408113547,3.3730303408113547,3.3730303408113547,3.3730303408113547,0.42162879260141933,0.48186147725876494,5.316206399383777
22,KrugerLowerSabie2022-B12,B12,0.9344978165938864,0.7248908296943232,0.9344978165938864,0.7248908296943232,B12,B,12.0,Sep 26 2022,Lower Sabie west,100,15.0,25.0,30.0,35.0,96.85,No trees,,13.5,0.0507369451224803,0.0780113264918327,0.107634749263525,0.143649686127901,0.2044449642300605,0.2196758836507797,0.1133761778473854,0.0428995229303836,1.0,0.0,0.25,1.158968355952551,0.032258064516129,0.5882745772230049,0.6195963025093079,0.0,0.25,0.0,0.0,0.610881067000687,3.0516244989022416,2.581174554325414,3.0516244989022416,2.581174554325414,0.3814530623627802,0.3687392220464877,4.573163389853005
23,KrugerLowerSabie2022-B13,B13,0.8598484848484849,0.2954545454545454,0.8598484848484849,0.2954545454545454,B13,B,13.0,Sep 26 2022,Lower Sabie west,80,10.0,2.0,5.0,5.0,79.79,No trees,,6.0,0.0501338057219982,0.0557795548811554,0.061362063512206,0.0685320328921079,0.0839359067380427,0.0905402228236198,0.0629414319992065,0.0089756790548563,1.0,0.0,0.05,0.6249064756440711,0.032258064516129,0.6069636115082722,0.6196905374526978,0.0,0.05,0.0,0.0,0.3375612543696816,2.362438808432362,0.7004048588662297,2.362438808432362,0.7004048588662297,0.29530485105404525,0.10005783698088996,4.379398183320189
24,KrugerLowerSabie2022-B14,B14,0.9969230769230768,0.8369230769230769,0.9969230769230768,0.8369230769230769,B14,B,14.0,Sep 26 2022,Lower Sabie west,90,45.0,30.0,30.0,55.0,86.48,No trees,,12.0,0.0509999990463256,0.08250836096704,0.1068431362509727,0.1367567852139473,0.2248160335421561,0.2530890107154846,0.1153120920062065,0.0436269529163837,1.0,0.0,0.25,1.0377707551124198,0.0483870967741935,0.4810999678406804,0.6167356371879578,0.0,0.25,0.0,0.0,0.6747004507147756,3.914036486698251,3.565329712408696,3.914036486698251,3.565329712408696,0.48925456083728136,0.5093328160583851,4.4599131733309525
25,KrugerLowerSabie2022-B16,B16,0.94311377245509,0.6077844311377245,0.94311377245509,0.6077844311377245,B16,B,16.0,Sep 26 2022,Lower Sabie west,45,25.0,0.0,20.0,35.0,57.71,No trees,,7.0,0.050000000745058,0.0719999969005584,0.0896695517003536,0.1095207966864109,0.171827383339405,0.2066139429807663,0.0942883938550949,0.0313929915428161,1.0,0.0,0.25,1.4279025346143144,0.032258064516129,0.6683986058406349,0.6893192529678345,0.0,0.25,0.0,0.0,0.5334198763435308,2.68881456175994,1.8718873395510975,2.68881456175994,1.8718873395510975,0.3361018202199925,0.26741247707872823,4.055430468722875
26,KrugerLowerSabie2022-B17,B17,0.9174434028911708,0.5282028965620567,0.9208860759493672,0.5316455696202531,B17,B,17.0,Sep 26 2022,Lower Sabie west,85,20.0,35.0,30.0,10.0,73.64,No trees,,10.0,0.0500665679574012,0.0624126810580492,0.0749179497361183,0.0952638387680053,0.1643328511714934,0.5242551565170288,0.0850884690880775,0.0447090566158294,1.0,0.0,0.25,1.3747451742784202,0.064516129032258,0.7298643990797121,0.8992233872413635,0.0,0.25,0.0,0.0,0.4780288284024766,2.488996187390483,1.5028921380264293,2.488996187390483,1.5028921380264293,0.31112452342381036,0.21469887686091846,4.299188356364877
