,featureid,id,coverherb_0m,coverherb_5cm,cover_0m,cover_5cm,Plot #,GPS #,Date Harvested,% Cover,Height 1,Height 2,Height 3,Height 4,Average Height,Wet Weight (g),Dry Weight (g),Site,Type,Tree Species,Bag Size,Average Bag Weight (g),Wet Weight Without Bag (g),Dry Weight Without Bag (g),Water Weight (g),Max Height (cm),Max Height (m),0,25,50,75,98,100,mean,std,nlayers,gapsize,maxpeakh,ptoh,cscore,FHD,VDR,VDRpeak,meanpeakh,stdpeakh,cvpeakh,herbh,log(DryWeight)
0,Mpala01-13,13,0.5081967213114754,0.1639344262295081,0.5081967213114754,0.1639344262295081,13.0,13.0,14/01/2022,40.0,13.0,5.0,4.0,11.0,8.25,52.17,50.98,KLEE,OUT,,small,16.0905,36.0795,34.8895,1.19,13.0,0.13,0.0509844608604908,0.0543620325624942,0.0594582725316286,0.0631488058716058,0.0812085200846195,0.0822539553046226,0.0616868063807487,0.0098644280806183,1.0,0.0,0.05,0.6078735036488879,0.032258064516129,0.4461368445195232,0.8855887651443481,0.0,0.05,0.0,0.0,0.2647462757932589,3.552185924342199
1,Mpala01-1,1,0.3035714285714285,0.0,0.3035714285714285,0.0,1.0,1.0,14/01/2022,15.0,5.0,3.0,3.0,4.0,3.75,24.87,24.57,KLEE,OUT,,small,16.0905,8.7795,8.4795,0.3,5.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05,1.0457066789080771,0.032258064516129,0.0895780266675439,1.0,0.0,0.05,0.0,0.0,0.1721589886710147,2.137651485801318
2,Mpala01-2,2,0.3985712714149003,0.13190460474823357,0.4,0.1333333333333333,2.0,2.0,14/01/2022,70.0,14.0,8.0,12.0,17.0,12.75,90.56,87.44,KLEE,OUT,,small,16.0905,74.4695,71.3495,3.12,17.0,0.17,0.0531597658991813,0.0552528640255332,0.0565183274447917,0.0617740331217646,0.0747127520292997,0.0758378580212593,0.0605085678398609,0.0089649427682161,1.0,0.0,0.05,0.6593013213266613,0.032258064516129,0.3926744672275521,1.0,0.0,0.05,0.0,0.0,0.2478569071223504,4.267590336189812
3,Mpala01-3,3,0.3488372093023256,0.2558139534883721,0.3488372093023256,0.2558139534883721,3.0,3.0,14/01/2022,75.0,54.0,26.0,50.0,53.0,45.75,181.27,172.07,KLEE,OUT,,small,16.0905,165.1795,155.9795,9.2,54.0,0.54,0.0508390851318836,0.0734467394649982,0.1104505285620689,0.1816710010170936,0.206761172413826,0.2098085284233093,0.1212436631321907,0.0566500835120677,1.0,0.0,0.05,0.2383125241654623,0.032258064516129,0.5686327461499967,1.0,0.0,0.05,0.0,0.0,0.3152659989862418,5.049724588358043
4,Mpala01-4,4,0.8557246432531103,0.82542161295008,0.8939393939393939,0.8636363636363636,4.0,4.0,14/01/2022,100.0,38.0,25.0,34.0,64.0,40.25,420.07,387.73,KLEE,IN,BO,big,32.334,387.736,355.396,32.34,64.0,0.64,0.0537198260426521,0.1512426286935806,0.1963263154029846,0.2757149040699005,1.2708138751983644,1.3029143810272217,0.2809781730175018,0.2810881733894348,2.0,1.25,1.5,1.151265211162529,0.0806451612903225,1.1225814651460002,0.8531129956245422,0.4166666666666667,0.875,0.625,1.4,0.86945661367632,5.873232660733184
5,Mpala01-5,5,0.29742463500423194,0.04390350824366857,0.3098591549295774,0.056338028169014,5.0,5.0,14/01/2022,15.0,3.0,5.0,0.0,33.0,10.25,31.15,30.32,KLEE,OUT,,small,16.0905,15.0595,14.2295,0.83,33.0,0.33,0.0606064908206462,0.0732823284342885,0.090400543063879,0.1133137233555316,0.1409695991873741,0.1433744579553604,0.0961955115199089,0.0311931502074003,1.0,0.0,0.05,0.3533468712728035,0.032258064516129,0.2167702581163254,1.0,0.0,0.05,0.0,0.0,0.2058574542650237,2.6553172744500064
6,Mpala01-6,6,0.28243661379014506,0.021072977426508672,0.2954545454545454,0.034090909090909,6.0,6.0,14/01/2022,60.0,15.0,10.0,8.0,11.0,11.0,92.03,89.81,KLEE,OUT,,small,16.0905,75.9395,73.7195,2.22,15.0,0.15,0.0517491921782493,0.0585562027990818,0.0653632134199142,0.077809065580368,0.0892592495679855,0.0902549177408218,0.0691224411129951,0.015943057835102,1.0,0.0,0.05,0.58919384222574,0.0483870967741935,0.2961703143909631,1.0,0.0,0.05,0.0,0.0,0.1736281342355179,4.300267350358654
7,Mpala01-7,7,0.3047619047619048,0.20952380952380956,0.5619047619047619,0.4666666666666667,7.0,7.0,14/01/2022,90.0,26.0,13.0,10.0,17.0,16.5,120.47,117.12,KLEE,IN,AD,small,16.0905,104.3795,101.0295,3.35,26.0,0.26,0.063186764717102,0.1145239062607288,1.6252013444900513,1.7076650857925415,1.7928355693817135,1.8032104969024656,1.1749130487442017,0.7313655018806458,2.0,1.7,1.75,0.9714651917377608,0.0967741935483871,1.3452591278401205,0.9325639009475708,0.4857142857142857,0.9,0.85,1.0588235294117647,0.3945148333117597,4.6154125534023525
8,Mpala01-8,8,0.490909090909091,0.25454545454545463,0.5,0.2636363636363636,8.0,8.0,14/01/2022,100.0,19.0,23.0,17.0,15.0,18.5,197.14,193.03,KLEE,IN,AD,big,32.334,164.806,160.696,4.11,23.0,0.23,0.0518829710781574,0.071034736931324,0.0983533188700676,0.1116961017251014,0.6212558221817015,0.8481956720352173,0.1336720138788223,0.1803869158029556,1.0,0.0,0.05,0.0589486620227932,0.0483870967741935,0.6540580699398688,1.0,0.0,0.05,0.0,0.0,0.3217719059249366,5.079514381332246
9,Mpala01-9,9,0.24396310187524678,0.015391673303818174,0.2571428571428571,0.0285714285714285,9.0,9.0,14/01/2022,10.0,3.0,3.0,3.0,0.0,2.25,22.88,22.86,KLEE,OUT,,small,16.0905,6.7895,6.7695,0.02,3.0,0.03,0.0544375851750373,0.0544375851750373,0.0544375851750373,0.0544375851750373,0.0544375851750373,0.0544375851750373,0.0544375851750373,0.0,1.0,0.0,0.05,0.9184830634796002,0.0483870967741935,0.3398788304140617,1.0,0.0,0.05,0.0,0.0,0.1577417131267275,1.9124272289530286
10,Mpala01-10,10,0.6595744680851063,0.6382978723404256,0.6595744680851063,0.6382978723404256,10.0,10.0,14/01/2022,100.0,60.0,59.0,37.0,29.0,46.25,511.3,502.4,KLEE,OUT,,big,32.334,478.966,470.066,8.9,60.0,0.6,0.0524567849934101,0.087323660030961,0.2096667811274528,0.2594544813036918,0.2806017065048218,0.2809243202209472,0.1805797070264816,0.0848911628127098,1.0,0.0,0.25,0.8899193911135025,0.0483870967741935,1.0245498749807542,0.6956249475479126,0.0,0.25,0.0,0.0,0.6235020627633964,6.152873110377278
11,Mpala01-11,11,0.2803413077630544,0.012484164905911477,0.2857142857142857,0.0178571428571428,11.0,11.0,14/01/2022,30.0,5.0,0.0,15.0,4.0,6.0,32.86,32.65,KLEE,OUT,,small,16.0905,16.7695,16.5595,0.21,15.0,0.15,0.0522834844887256,0.0522834844887256,0.0522834844887256,0.0522834844887256,0.0522834844887256,0.0522834844887256,0.0522834844887256,0.0,1.0,0.0,0.05,0.9563249368121578,0.032258064516129,0.0895780266675439,1.0,0.0,0.05,0.0,0.0,0.189822646946209,2.8069599552645736
12,Mpala01-12,12,0.42222222222222217,0.2814814814814815,0.4481481481481481,0.3074074074074074,12.0,12.0,14/01/2022,100.0,33.0,17.0,18.0,21.0,22.25,211.21,202.53,KLEE,IN,AD,big,32.334,178.876,170.196,8.68,33.0,0.33,0.050225805491209,0.0708686579018831,0.0922134183347225,0.1402435153722763,1.8558730983734144,2.309213399887085,0.3480755388736725,0.6234939694404602,2.0,1.95,2.0,1.0261076140165504,0.0806451612903225,0.8222677119363249,1.0,0.4875,1.025,0.975,1.051282051282051,0.3435273266044145,5.136950714100471
13,Mpala01-14,14,0.3684210526315789,0.0,0.3684210526315789,0.0,14.0,14.0,14/01/2022,25.0,4.0,0.0,0.0,14.0,4.5,49.55,48.62,KLEE,OUT,,small,16.0905,33.4595,32.5295,0.93,14.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05,1.2036777402295673,0.0161290322580645,-0.0,1.0,0.0,0.05,0.0,0.0,0.1832085589008133,3.482147369939836
14,Mpala01-15,15,0.1707317073170731,0.0,0.1707317073170731,0.0,15.0,15.0,14/01/2022,10.0,2.0,0.0,0.0,0.0,0.5,23.04,22.74,KLEE,OUT,,small,16.0905,6.9495,6.6495,0.3,2.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05,2.20474692248866,0.032258064516129,0.1146652822029065,1.0,0.0,0.05,0.0,0.0,0.1681625613289954,1.8945416638710808
15,Mpala01-16,16,0.6753246753246753,0.4025974025974026,0.6753246753246753,0.4025974025974026,16.0,16.0,14/01/2022,100.0,23.0,26.0,21.0,18.0,22.0,279.71,265.47,KLEE,IN,BA,big,32.334,247.376,233.136,14.24,26.0,0.26,0.0501362420618534,0.0689074732363224,0.1001922562718391,0.1249240674078464,0.1780647158622741,0.1886617839336395,0.1011956185102462,0.0388991348445415,1.0,0.0,0.05,0.2676976800516011,0.032258064516129,0.6740507779895553,0.8327710628509521,0.0,0.05,0.0,0.0,0.3993910426462076,5.451621974271498
16,Mpala01-17,17,0.3787878787878788,0.1969696969696969,0.3787878787878788,0.1969696969696969,17.0,17.0,14/01/2022,40.0,0.0,12.0,10.0,8.0,7.5,83.82,81.87,KLEE,OUT,,small,16.0905,67.7295,65.7795,1.95,12.0,0.12,0.0503027848899364,0.0571717731654644,0.0711958259344101,0.0770225301384925,0.0974775767326354,0.1018389165401458,0.0703515112400055,0.0137058366090059,1.0,0.0,0.05,0.490971444892479,0.032258064516129,0.4961727258860856,1.0,0.0,0.05,0.0,0.0,0.2827277202989447,4.186308239637465
17,Mpala01-18,18,0.26161547815469705,0.04456121458880552,0.5129198966408269,0.2958656330749354,18.0,18.0,14/01/2022,70.0,5.0,14.0,12.0,16.0,11.75,78.23,76.1,KLEE,IN,AD,small,16.0905,62.1395,60.0095,2.13,16.0,0.16,0.0503362901508808,2.275740087032318,2.4793896675109863,2.607749938964844,2.713310956954956,2.71961522102356,2.1436166763305664,0.8655000925064087,2.0,2.7,2.75,1.0127755647439889,0.0806451612903225,1.2113751963049837,0.9822632670402528,0.4909090909090909,1.4,1.35,1.037037037037037,0.2416132227318638,4.0945028830220345
18,Mpala01-19,19,0.1886792452830188,0.0,0.1886792452830188,0.0,19.0,19.0,14/01/2022,20.0,0.0,4.0,0.0,5.0,2.25,36.33,35.35,KLEE,OUT,,small,16.0905,20.2395,19.2595,0.98,5.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05,1.969134851195908,0.0161290322580645,-0.0,1.0,0.0,0.05,0.0,0.0,0.1832085589008133,2.9580044454930197
19,Mpala01-20,20,0.45,0.3,0.45,0.3,20.0,20.0,14/01/2022,90.0,16.0,16.0,22.0,17.0,17.75,167.16,162.82,KLEE,OUT,,small,16.0905,151.0695,146.7295,4.34,22.0,0.22,0.0526633523404598,0.0558272339403629,0.0652761347591877,0.0801162626594305,0.0986125920712947,0.0999636054039001,0.0696765258908271,0.0157764684408903,1.0,0.0,0.05,0.5001820392329429,0.032258064516129,,1.0,0.0,0.05,0.0,0.0,0.340137455157466,4.9885907555941325
20,Mpala01-21,21,0.3775510204081632,0.1836734693877551,0.3775510204081632,0.1836734693877551,21.0,21.0,14/01/2022,95.0,47.0,50.0,26.0,22.0,36.25,244.19,238.38,KLEE,OUT,,big,32.334,211.856,206.046,5.81,50.0,0.5,0.0573891215026378,0.0744045097380876,0.0896164625883102,0.1310670487582683,0.1773092791438102,0.194769874215126,0.1008134856820106,0.035875491797924,1.0,0.0,0.05,0.2801001891636964,0.0483870967741935,0.5317728665580652,1.0,0.0,0.05,0.0,0.0,0.2682091772151577,5.328099444832504
21,Mpala01-22,22,0.4545454545454545,0.1454545454545454,0.4545454545454545,0.1454545454545454,22.0,22.0,14/01/2022,40.0,20.0,12.0,0.0,6.0,9.5,102.86,100.61,KLEE,OUT,,small,16.0905,86.7695,84.5195,2.25,20.0,0.2,0.0521607883274555,0.0667833499610424,0.0720926895737648,0.0965126883238554,0.1254286673665046,0.1278018504381179,0.0824237316846847,0.0241073351353406,1.0,0.0,0.05,0.3912306420337015,0.032258064516129,,1.0,0.0,0.05,0.0,0.0,0.2547753836841793,4.436982276970774
22,Mpala01-23,23,0.3461538461538461,0.173076923076923,0.3461538461538461,0.173076923076923,23.0,23.0,14/01/2022,70.0,26.0,4.0,7.0,40.0,19.25,99.01,96.35,KLEE,OUT,,small,16.0905,82.9195,80.2595,2.66,40.0,0.4,0.0558212585747242,0.0616435296833515,0.0692348629236221,0.0827577337622642,0.0900787058472633,0.0901956036686897,0.0716385468840599,0.0122333206236362,1.0,0.0,0.05,0.5543507440081237,0.032258064516129,0.4607316768343282,1.0,0.0,0.05,0.0,0.0,0.2697023685185493,4.385265135066064
23,Mpala01-24,24,0.46,0.14,0.46,0.14,24.0,24.0,14/01/2022,20.0,3.0,0.0,5.0,13.0,5.25,33.59,32.3,KLEE,OUT,,small,16.0905,17.4995,16.2095,1.29,13.0,0.13,0.0502325668931007,0.0558314640074968,0.0568468943238258,0.0619774926453828,0.0676539120078086,0.0680000036954879,0.0586710534989833,0.0056121847592294,1.0,0.0,0.05,0.7352940776871997,0.032258064516129,0.4049634850639385,1.0,0.0,0.05,0.0,0.0,0.2518443001857686,2.7855974901145526
24,Mpala01-25,25,0.34042288397079157,0.09280383635174388,0.3619047619047619,0.1142857142857142,25.0,25.0,14/01/2022,70.0,25.0,40.0,44.0,81.0,47.5,178.79,167.46,KLEE,OUT,,small,16.0905,162.6995,151.3695,11.33,81.0,0.81,0.053066037595272,0.0565019706264138,0.058000000193715,0.0819704513996839,0.1817355114221572,0.1850112229585647,0.0821315646171569,0.0440336689352989,1.0,0.0,0.05,0.2789339407176595,0.0483870967741935,0.4816023787938643,1.0,0.0,0.05,0.0,0.0,0.2124067136155519,5.019723867604586
25,Mpala01-26,26,0.45406086436578724,0.40911704414106803,0.7228464419475656,0.6779026217228464,26.0,26.0,14/01/2022,80.0,9.0,13.0,14.0,9.0,11.25,209.2,204.55,KLEE,IN,AD,big,32.334,176.866,172.216,4.65,14.0,0.14,0.0529593899846077,0.1007565259933471,1.1288824081420898,1.8395384550094604,2.7457754611968994,2.884805202484131,1.091476321220398,0.938822627067566,3.0,1.75,2.75,0.973519888716386,0.1774193548387097,1.9758401567278143,0.8139851689338684,0.2727272727272727,1.6666666666666667,1.047483757498045,1.59111456835146,0.6507135580346909,5.148749502892145
26,Mpala01-27,27,0.31402115014173515,0.014021150141735172,0.32,0.02,27.0,27.0,14/01/2022,40.0,4.0,5.0,29.0,6.0,11.0,40.36,38.81,KLEE,OUT,,small,16.0905,24.2695,22.7195,1.55,29.0,0.29,0.0619045011699199,0.0619045011699199,0.0619045011699199,0.0619045011699199,0.0619045011699199,0.0619045011699199,0.0619045011699199,0.0,1.0,0.0,0.05,0.807695709602059,0.032258064516129,0.0935999632458157,1.0,0.0,0.05,0.0,0.0,0.1902115014173517,3.1232235865685385
27,Mpala01-29,29,0.6119402985074627,0.4029850746268656,0.6119402985074627,0.4029850746268656,29.0,29.0,14/01/2022,80.0,27.0,22.0,19.0,36.0,26.0,279.24,269.1,KLEE,OUT,,big,32.334,246.906,236.766,10.14,36.0,0.36,0.0530814044177532,0.0751651190221309,0.0935468077659607,0.118216224014759,0.1783293294906616,0.1819007694721222,0.102833941578865,0.038071870803833,1.0,0.0,0.05,0.2749443513209521,0.032258064516129,0.6742034619779163,0.8101364374160767,0.0,0.05,0.0,0.0,0.3996190268522728,5.4670723116200195
28,Mpala01-30,30,0.5147058823529411,0.1764705882352941,0.5147058823529411,0.1764705882352941,30.0,30.0,14/01/2022,35.0,12.0,9.0,0.0,14.0,8.75,55.46,54.21,KLEE,OUT,,small,16.0905,39.3695,38.1195,1.25,14.0,0.14,0.0548603422939777,0.0744258165359497,0.0965571179986,0.128784954547882,0.1637286400794982,0.1681512296199798,0.102868802845478,0.0342080295085907,1.0,0.0,0.05,0.2979450403580963,0.032258064516129,0.4659992569610426,0.939686954021454,0.0,0.05,0.0,0.0,0.271545986942704,3.640725962225688
29,Mpala01-28,28,0.3472222222222223,0.2222222222222223,0.5555555555555556,0.4305555555555556,28.0,28.0,14/01/2022,90.0,49.0,50.0,45.0,30.0,43.5,183.72,173.03,KLEE,IN,AD,big,32.334,151.386,140.696,10.69,50.0,0.5,0.0516738221049308,0.1014085933566093,1.997506856918335,2.0754473209381104,2.2086101245880125,2.209322214126587,1.3556886911392212,0.9429690837860109,2.0,2.2,2.25,1.0184367524041722,0.064516129032258,1.3009573950336957,0.9572032690048218,0.4888888888888889,1.15,1.1,1.0454545454545452,0.3766374453037799,4.946601534434063
30,Mpala02-53,53,0.0,0.0,0.0,0.0,53.0,53.0,15/01/2022,70.0,25.0,18.0,33.0,17.0,23.25,125.87,120.8,GLADE South,OUT,,small,16.0905,109.7795,104.7095,5.07,33.0,0.33,0.0515550039708614,0.0534548377618193,0.0547439828515052,0.0641034413129091,0.0881253533065319,0.0902142152190208,0.0628142952919006,0.0158796049654483,1.0,0.0,0.05,0.5542363792514371,0.032258064516129,0.2868359830561607,0.777781069278717,0.0,0.05,0.0,0.0,0.218844878365339,4.651189849194855
31,Mpala02-55,55,0.0,0.0,0.0,0.0,55.0,55.0,15/01/2022,10.0,12.0,0.0,6.0,0.0,4.5,23.32,21.58,GLADE South,OUT,,small,16.0905,7.2295,5.4895,1.74,12.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05,1.5421873507908914,0.0161290322580645,-0.0,1.0,0.0,0.05,0.0,0.0,0.1832085589008133,1.70283717669265
32,Mpala02-54,54,0.0,0.0,0.0,0.0,54.0,54.0,15/01/2022,80.0,20.0,26.0,24.0,18.0,22.0,140.99,132.22,GLADE South,OUT,,small,16.0905,124.8995,116.1295,8.77,26.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05,1.8734514991948503,0.0161290322580645,-0.0,1.0,0.0,0.05,0.0,0.0,0.1832085589008133,4.754705947728721
33,Mpala02-56,56,0.0,0.0,0.0,0.0,56.0,56.0,15/01/2022,60.0,14.0,26.0,3.0,11.0,13.5,64.75,57.78,GLADE South,IN,AE,small,16.0905,48.6595,41.6895,6.97,26.0,0.26,0.0640254169702529,0.968902200460434,1.9770236015319824,2.0982298254966736,2.309794144630432,2.3725757598876958,1.5444488525390625,0.6549074649810791,3.0,1.25,2.25,0.9534264753534176,0.1129032258064516,0.9726706859248236,0.9940559267997742,0.5555555555555556,1.1,0.900925450115972,1.2209667291099413,0.1903222373749547,3.730249298537024
34,Mpala02-57,57,0.0,0.0,0.0,0.0,57.0,57.0,15/01/2022,15.0,13.0,0.0,10.0,17.0,10.0,46.3,44.28,GLADE South,IN,AE,small,16.0905,30.2095,28.1895,2.02,17.0,0.17,1.450863242149353,1.8682560920715328,2.072481155395508,2.466568946838379,3.023945779800415,3.088855028152466,2.156841993331909,0.4394025206565857,2.0,1.95,2.0,0.6499205505437754,0.1451612903225806,1.7216730907175126,0.4923396110534668,0.4875,1.025,0.975,1.051282051282051,0.1832085589008132,3.338949568182628
35,Mpala02-58,58,0.0,0.0,0.0,0.0,58.0,58.0,15/01/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GLADE South,OUT,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05,2.2473339540871047,0.0161290322580645,-0.0,1.0,0.0,0.05,0.0,0.0,0.1832085589008133,0.0
36,Mpala02-59,59,0.5277777777777778,0.0,0.5277777777777778,0.0,59.0,59.0,15/01/2022,30.0,10.0,7.0,18.0,22.0,14.25,44.34,42.13,GLADE South,OUT,,small,16.0905,28.2495,26.0395,2.21,22.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05,1.220729533087462,0.0161290322580645,-0.0,1.0,0.0,0.05,0.0,0.0,0.1832085589008133,3.259614615927144
37,Mpala02-48,48,0.0,0.0,0.0,0.0,48.0,48.0,15/01/2022,70.0,5.0,16.0,38.0,19.0,19.5,64.15,61.5,GLADE South,,AE,small,16.0905,48.0595,45.4095,2.65,38.0,0.38,0.0760770216584205,1.335311770439148,1.4698718786239624,1.690761685371399,3.401022930145264,3.457311153411865,1.7539770603179932,0.7935411930084229,3.0,2.0,3.5,1.0169465318723003,0.1451612903225806,1.5572369810906823,0.6948598623275757,0.5714285714285714,1.6833333333333331,1.4144099672851418,1.190131130484304,0.1916187747729813,3.8157213342586656
38,Mpala02-45,45,1.0,0.0,1.0,0.0,45.0,45.0,15/01/2022,20.0,0.0,0.0,6.0,6.0,3.0,34.76,33.68,GLADE South,OUT,,small,16.0905,18.6695,17.5895,1.08,6.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05,1.3609367409701731,0.0161290322580645,-0.0,0.7361013889312744,0.0,0.05,0.0,0.0,0.1832085589008133,2.8673021331038475
39,Mpala02-44,44,1.0,0.0,1.0,0.0,44.0,44.0,15/01/2022,60.0,4.0,6.0,0.0,9.0,4.75,30.38,30.12,GLADE South,OUT,,small,16.0905,14.2895,14.0295,0.26,9.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05,2.543220087193262,0.0161290322580645,-0.0,1.0,0.0,0.05,0.0,0.0,0.1832085589008133,2.641162255560578
40,Mpala02-46,46,1.0,0.0,1.0,0.0,46.0,46.0,15/01/2022,60.0,34.0,24.0,3.0,24.0,21.25,91.68,58.82,GLADE South,OUT,,small,16.0905,75.5895,42.7295,32.86,34.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05,1.9541408008342005,0.0161290322580645,-0.0,1.0,0.0,0.05,0.0,0.0,0.1832085589008133,3.7548895482067093
