,Mpala01-13,Mpala01-1,Mpala01-2,Mpala01-3,Mpala01-4,Mpala01-5,Mpala01-6,Mpala01-7,Mpala01-8,Mpala01-9,Mpala01-10,Mpala01-11,Mpala01-12,Mpala01-14,Mpala01-15,Mpala01-16,Mpala01-17,Mpala01-18,Mpala01-19,Mpala01-20,Mpala01-21,Mpala01-22,Mpala01-23,Mpala01-24,Mpala01-25,Mpala01-26,Mpala01-27,Mpala01-29,Mpala01-30,Mpala01-28,Mpala02-53,Mpala02-55,Mpala02-54,Mpala02-56,Mpala02-57,Mpala02-58,Mpala02-59,Mpala02-48,Mpala02-45,Mpala02-44,Mpala02-46,Mpala02-47,Mpala02-49,Mpala02-51,Mpala02-50,Mpala02-52,Mpala02-42,Mpala02-37,Mpala02-36,Mpala02-35,Mpala02-34,Mpala02-60,Mpala02-32,Mpala02-33,Mpala02-31,Mpala02-39,Mpala02-40,Mpala02-41,Mpala02-38,Mpala02-43,Mpala03-61,Mpala03-62,Mpala03-63,Mpala03-64,Mpala03-65,Mpala03-66,Mpala03-68,Mpala03-67,Mpala03-69,Mpala03-70,Mpala03-71,Mpala03-72,Mpala03-73,Mpala03-74,Mpala03-75,Mpala03-76,Mpala03-78,Mpala03-77,Mpala03-79,Mpala03-80,Mpala03-81,Mpala03-82,Mpala03-83,Mpala03-84,Mpala03-85,Mpala03-86,Mpala03-87,Mpala03-88,Mpala03-89,Mpala03-90,Mpala05-91,Mpala05-92,Mpala05-95,Mpala05-93,Mpala05-94,Mpala05-96,Mpala05-97,Mpala05-101,Mpala05-98,Mpala05-99,Mpala05-100,Mpala05-102,Mpala05-108,Mpala05-103,Mpala05-104,Mpala05-105,Mpala05-106,Mpala05-107,Mpala05-111,Mpala05-109,Mpala05-110,Mpala05-112,Mpala05-113,Mpala05-114,Mpala05-115,Mpala05-116,Mpala05-117,Mpala05-118,Mpala05-119,Mpala05-120,Mpala07-125,Mpala07-122,Mpala07-124,Mpala07-126,Mpala07-127,Mpala07-128,Mpala07-129,Mpala07-130,Mpala07-131,Mpala07-132,Mpala07-133,Mpala07-134,Mpala07-135,Mpala07-136,Mpala07-137,Mpala07-138,Mpala07-139,Mpala07-140,Mpala07-141,Mpala07-142,Mpala07-143,Mpala07-144,Mpala07-145,Mpala07-146,Mpala07-147,Mpala07-148,Mpala07-149,Mpala07-150,Mpala09-152,Mpala09-151,Mpala09-153,Mpala09-154,Mpala09-155,Mpala10-157,Mpala10-159,Mpala10-158,Mpala10-161,Mpala10-160,Mpala10-163,Mpala10-162,Mpala10-164,Mpala10-167,Mpala10-166,Mpala10-165,Mpala15-188,Mpala15-189,Mpala15-190,Mpala15-191,Mpala15-192,Mpala15-193,Mpala15-194,Mpala15-195,Mpala15-196,Mpala15-197,Mpala15-200,Mpala15-198,Mpala15-199,Mpala07-121
0.0,2.5215426813445982,5.666434265350156,3.4496435743475717,1.176524870509708,-0.0,4.414630357283915,11.442078621442377,1.8183822085437416,-0.0,1.4493768436626149,-0.0,2.7529888591513716,2.811985916143804,7.817303519534699,6.50265641240989,4.765508990216245,0.763373606539421,4.922003640662626,7.08252585315134,1.2658903992144948,4.816555446921604,4.765508990216239,0.9709042928550756,3.0937701859043765,3.4496435743475717,0.9901313648089877,4.169080446952557,1.515267474766446,4.618666006550752,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,29.38933324510595,-0.0,11.157177565710484,-0.0,80.47189562170503,16.823611831060653,24.275390789085037,39.4228680182135,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.765508990216239,-0.0,12.565721414045303,5.666434265350162,11.157177565710484,22.712763613879822,-0.0,-0.0,3.226926056878559,11.703631092320002,7.842123574648485,-0.0,0.8547216679650034,3.1260178490666966,12.209848025602104,10.239720632300656,3.0312310908217426,-0.0,-0.0,15.073769729205832,1.754565990563503,3.0312310908217426,2.247569393113314,2.1279807209397945,3.4496435743475717,7.707533991362918,4.22786940140315,3.799295348896099,2.4395082084716027,3.4496435743475717,1.3699487094057194,-0.0,-0.0,11.41293259904901,1.6394911411495419,14.128348589250525,0.869587135593461,11.157177565710484,11.765704346723249,8.231098984727685,20.612239754677155,15.92268655592673,8.416765740960738,13.571077579000026,17.159935969108187,24.94425916970364,8.663586063701835,14.802516106114876,15.444214005119195,13.0265541692915,2.3260007817446406,3.811368269394212,8.99856897245005,-0.0,5.089134715497118,4.3505688494814905,8.125946474888746,2.1742555969869444,3.616033078981307,5.889151782819176,10.528238455367482,15.466062377763102,7.381799940303228,3.530878360697665,4.5075548497148725,5.362276517679878,5.697212967460886,4.002135383676818,4.765508990216245,7.953234731484364,-0.0,1.7545659905635085,3.077894649971666,7.842123574648485,-0.0,-0.0,3.2978983895898706,4.204155860527072,1.0204435815603505,10.646099862133584,6.806608716229002,2.0002667306849564,1.0101353658759733,2.3260007817446406,7.10872443902713,4.056277240618422,6.676569631226132,5.268025782891314,6.4127167761839425,2.7529888591513716,4.447374300824809,2.703361063513785,3.4496435743475717,1.4493768436626149,1.2658903992144948,1.6044157275750255,5.268025782891314,-0.0,8.822821867077826,1.9610356576640633,2.1742555969869444,7.4210002559136665,3.0937701859043765,4.288341087871253,11.478722082225005,10.992973805650994,10.324595886088382,2.344179294942519,2.857920691997432,6.860056075674252,24.92207822831345,2.703361063513785,1.9233140413898027,-0.0,-0.0,-0.0,0.9901313648089877,1.754565990563503,-0.0,-0.0,1.1236427926029313,2.40046095931803,-0.0,10.033534773107561,-0.0,8.683174702542006
0.02,2.6711578378557874,0.9508226128905627,1.7628917743833228,1.7126273291612542,4.362183082016455,1.1102030078645413,0.4143920861057604,3.335891968320292,3.0136833937388925,1.1283095455873242,2.9221468320091866,1.1484851088764647,2.153571466217502,1.1008517233939636,0.2174366111941801,3.8176935611041616,1.9651527119263357,2.501583238711138,0.2533430787998946,2.406022774716464,1.4629227679183172,1.9651527119263357,1.7212854656174505,2.2209809728956116,1.5212837258841465,5.32076274618311,1.1932036769641752,3.793426561807662,2.417156778462871,3.7862102512930336,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.3783103347375209,-0.0,6.997556141017829,-0.0,0.9701893535400421,2.4331121214583598,1.140714193336918,-0.0,4.776575168122215,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.9651527119263357,3.0136833937388925,2.555594195226604,0.3222085745813993,-0.0,0.21213114856274806,-0.0,-0.0,1.9009295931423684,0.651357731428957,0.7647420281028876,3.4128466513611655,5.673690094199731,2.635373059001372,0.07307442746252733,0.16408838253411726,-0.0,9.072902529443084,4.1190492128008085,-0.0,4.2147850312526245,1.395250956870006,3.4664671296197493,4.776575168122217,1.1552311553608947,0.07834132827251462,3.38132421125221,0.2174366111941801,1.9210119664306058,-0.0,1.2117974020392193,3.8861646783569412,2.2209809728956107,0.08964907479450306,2.8756455749798477,-0.0,3.658987763818341,0.3282937065571529,0.9352668678997633,0.07834132827251462,0.1799357224471929,-0.0,0.0616723260519844,0.2192645809864868,0.07348613392436197,0.14334790972856445,0.04968998184183802,0.2517129496474027,0.12335085708354598,0.040072413499669356,1.6651837054613292,0.16255448726791447,0.7216745107576572,6.027366787477785,0.6006536455687703,2.501583238711138,1.0386604707928213,0.2867737730078148,0.3144376590418528,0.33461322233099267,0.2259119083943961,0.7847320683143203,0.44862711406622063,0.4143920861057604,1.2011016375137313,2.028780570702152,3.983872747278936,3.942266438513062,3.215944331281905,0.2635853122453689,0.4580891985122882,2.866285342975061,4.841957243620219,0.7647420281028876,1.8764184874428262,6.8200692083210654,1.5375653923633839,0.1425644470564819,4.520746907152941,1.310762585148333,1.2772222544702743,1.5143769316009386,4.441961945791223,-0.0,1.1987212235002835,2.740145022388591,0.9027798468619326,-0.0,1.702920808590559,3.0136833937388925,0.5938066739380468,0.15529601131338797,0.09770806892199403,0.2558282609692759,1.872969200401975,4.099821647636158,0.4580891985122882,0.42451508506050406,0.2635853122453689,2.6914748191574933,0.2867737730078148,0.8227913027762105,2.3683790236594424,0.30848580857514996,0.4088215202098971,0.5480031343276741,0.5898515876224143,4.743511692534306,0.5121001550277544,0.5965266152760219,0.5631915312691403,1.9979666494714792,0.2533430787998946,-0.0,0.2533430787998946,-0.0,-0.0,0.07561627266030096,-0.0,-0.0,0.8510633788091102,0.06847111725277899,-0.0,-0.0,-0.0,0.9859709537599498
0.25,-0.0,-0.0,-0.0,-0.0,1.4266997757549298,-0.0,-0.0,-0.0,-0.0,-0.0,0.7463438223216488,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.07921050918471902,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.06837773343720027,-0.0,-0.0,-0.0,-0.0,0.08856450350885407,0.616602719309033,-0.0,-0.0,-0.0,-0.0,0.17023845767518356,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.45764140471097686,0.18608006253957127,0.5113334860395401,-0.0,-0.0,-0.0,0.21243930125579363,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.062016746143860796,0.07767234342840651,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.29960523269247086,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2162688850811028,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.24249848726573942,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.08247714881094281,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.2603241865595816,-0.0,0.8925742052568387,-0.0,-0.0,-0.0,0.14036527924508024,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.9214656651251285,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.75,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.3382295521122525,-0.0,0.7614149139648756,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.3442984350849721,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.053692081328562645,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
